,0
0,2392828
1,18799879
2,26008962
3,18448851
4,5214748
5,36851147
6,7215082
7,21119069
8,19097988
9,25729251
10,11585836
11,36085546
12,36008671
13,25147377
14,34858856
15,16951184
16,13931672
17,26391720
18,5046854
19,18374660
20,29337934
21,23777319
22,2448925
23,28117652
24,14234457
25,19512345
26,15231112
27,11836053
28,31023417
29,4439323
30,33053272
31,5590321
32,20178534
33,12268880
34,12266923
35,8096781
36,34081124
37,27208918
38,20013378
39,2223736
40,35414371
41,35004404
42,14669584
43,18256903
44,18499888
45,26841975
46,28139503
47,36259322
48,29775525
49,10113739
50,4576717
51,7239380
52,15476492
53,25130577
54,16490697
55,17467423
56,22358418
57,26930639
58,14789213
59,28147758
60,4774708
61,15246239
62,10703411
63,30795540
64,32233875
65,239872
66,1928266
67,9429083
68,17588181
69,17139264
70,27883578
71,17026348
72,33562632
73,23342236
74,19446734
75,10732316
76,29407901
77,29160858
78,15897314
79,30189887
80,29509590
81,9238657
82,1956000
83,17705620
84,32758157
85,35598319
86,23171706
87,15486922
88,29672656
89,16362513
90,18458817
91,14616856
92,13588550
93,7726425
94,2791741
95,3882018
96,12424856
97,34186167
98,2338508
99,3213177
100,14375626
101,17989907
102,11090783
103,21202594
104,35954787
105,33237280
106,23705105
107,24769305
108,13667368
109,30054858
110,3568941
111,23250490
112,21795547
113,13896389
114,30131321
115,8768806
116,19443935
117,11522512
118,7852545
119,8007615
120,23875238
121,34606008
122,5737605
123,625093
124,258434
125,20127671
126,5889349
127,24278731
128,10431836
129,28372412
130,17508325
131,23740104
132,16903219
133,8526208
134,20626908
135,33566561
136,10087496
137,8462538
138,5775862
139,34434548
140,29688906
141,25890226
142,23382373
143,23378768
144,7805173
145,4824944
146,27626297
147,13108946
148,14603122
149,24048127
150,2952226
151,21435090
152,5558076
153,33495985
154,20446461
155,15389060
156,24127218
157,8982631
158,26961716
159,23594865
160,20988384
161,37049438
162,14964074
163,20599985
164,29342387
165,601437
166,2875824
167,23929990
168,9595739
169,28800485
170,7922775
171,9540465
172,5051371
173,26005470
174,30892699
175,16759100
176,37303197
177,7310244
178,15790617
179,697650
180,8214679
181,5335218
182,20699393
183,22818384
184,7088353
185,629052
186,32192545
187,6974119
188,16252968
189,8462979
190,19725911
191,18274699
192,16490987
193,30864337
194,3941038
195,32883384
196,6765223
197,35419006
198,10137856
199,768163
200,13374019
201,28825465
202,9782021
203,5805420
204,631913
205,25866829
206,3444034
207,31402020
208,37065504
209,5590396
210,17025898
211,10356936
212,8559729
213,24902925
214,8629561
215,37088401
216,29714487
217,21686707
218,9234630
219,32687357
220,2913015
221,3021429
222,36945494
223,17697786
224,16950728
225,30320471
226,22965460
227,37248524
228,4194842
229,2759737
230,16575660
231,3103156
232,19534963
233,20067407
234,29644249
235,33674094
236,33414961
237,18915007
238,19383507
239,22507266
240,25580682
241,217329
242,12146287
243,12143223
244,36368350
245,27591491
246,12850095
247,31670873
248,29003538
249,16668926
250,35044690
251,18588050
252,25080965
253,1853039
254,12782071
255,12261892
256,23482756
257,18127903
258,21036738
259,34085949
260,25074477
261,29633783
262,14550508
263,13134105
264,36510664
265,2871092
266,29725837
267,21750055
268,11091411
269,12697380
270,4594493
271,17477889
272,19044234
273,34236167
274,7639979
275,36205490
276,16894786
277,29620315
278,37150638
279,11792097
280,20000498
281,34989436
282,33397989
283,11051305
284,1223739
285,19194184
286,25919938
287,9023754
288,31443176
289,30159509
290,11635202
291,27819956
292,7205057
293,6370689
294,8293387
295,12919365
296,32618285
297,35022648
298,15581233
299,20960162
300,5367249
301,25199240
302,18775670
303,35247375
304,16848835
305,3284065
306,29443513
307,415434
308,25086994
309,17565248
310,6063348
311,6992576
312,22544243
313,8920905
314,33696265
315,29927097
316,14976204
317,17253249
318,35387475
319,7707683
320,19607594
321,15290550
322,2440294
323,27746423
324,23948802
325,19101492
326,16703590
327,4321073
328,2268116
329,25706961
330,36334574
331,15628067
332,22663029
333,1544916
334,1988413
335,30525653
336,10605331
337,16674282
338,26597500
339,15545169
340,18883391
341,6422234
342,37638879
343,11003911
344,32343863
345,14554204
346,25266924
347,8977964
348,568165
349,5777220
350,15091598
351,7682120
352,28424755
353,12300111
354,932195
355,10112474
356,18176606
357,3898863
358,35284291
359,36964677
360,26888206
361,33147262
362,15375733
363,14449618
364,3495101
365,10407133
366,18550702
367,28568926
368,16418770
369,13151854
370,22594355
371,10723818
372,28412294
373,32937474
374,147519
375,12112738
376,13486393
377,20880043
378,14736172
379,8629969
380,24744927
381,33678199
382,250320
383,8307578
384,7508637
385,1401726
386,15419726
387,22627909
388,37108513
389,4283673
390,7329143
391,14621895
392,17703401
393,14290392
394,26540946
395,9728612
396,22895061
397,1962550
398,27405158
399,12385338
400,9590546
401,23769232
402,19096101
403,29763051
404,19163838
405,2568687
406,13673148
407,3771543
408,7703201
409,789324
410,18011684
411,1286175
412,12423086
413,3522157
414,20307686
415,272627
416,30901382
417,23743847
418,28902004
419,30610714
420,5481564
421,17296079
422,32530732
423,13763721
424,16782655
425,35453056
426,1747551
427,27780168
428,2428322
429,2885037
430,19137527
431,2837064
432,12274622
433,15834686
434,24541849
435,26575631
436,16601218
437,34284549
438,16206991
439,11372856
440,2716850
441,24829640
442,15669710
443,16339310
444,23764984
445,31010362
446,22236260
447,35125965
448,7516539
449,14228493
450,30508140
451,9257059
452,17993819
453,22102501
454,28596200
455,30507737
456,22582681
457,24489256
458,7772206
459,33670738
460,13627389
461,4537648
462,21322106
463,14059470
464,28991412
465,29199522
466,32172753
467,33504163
468,21444851
469,36521132
470,13409146
471,30720070
472,27495084
473,35121165
